trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.03, 'e': 0.19204990862075416}",30,12,-15.43189061822435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.03, 'e': 0.18637397603941}",20,3,2.3913128498110234,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.03, 'e': 0.1808657926171221}",25,0,17.88462852363157,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.03, 'e': 0.1755204006169969}",30,9,12.036106013511208,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.03, 'e': 0.17033298882540945}",30,14,-9.7553949327602,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.03, 'e': 0.1652988882215866}",25,1,-15.118035696859316,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.03, 'e': 0.1604135677751728}",25,0,-22.063787652472374,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.03, 'e': 0.15567263036799733}",35,0,-11.172988300865498,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.03, 'e': 0.15107180883637086}",20,15,10.53197094215147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.03, 'e': 0.14660696213035015}",20,0,-6.335237130807604,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.03, 'e': 0.1422740715865136}",25,15,4.8990746937214205,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.03, 'e': 0.13806923731089282}",20,0,-9.017173531594622,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.03, 'e': 0.133988674668805}",20,12,-29.42269573104389,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
